بازیچۂ اطفال
اطفال ہے
ہے دنیا
دنیا مرے
مرے آگے
ہوتا ہے
ہے شب
شب روز
روز تماشا
تماشا مرے
مرے آگے
اک کھیل
کھیل ہے
ہے اورنگ
اورنگ سلیماں
سلیماں مرے
مرے نزدیک
اک بات
بات ہے
ہے اعجاز
اعجاز مسیحا
مسیحا مرے
مرے آگے
جز نام
نام نہیں
نہیں صورت
صورت عالم
عالم مجھے
مجھے منظور
جز وہم
وہم نہیں
نہیں ہستیٔ
ہستیٔ اشیا
اشیا مرے
مرے آگے
ہوتا ہے
ہے نہاں
نہاں گرد
گرد میں
میں صحرا
صحرا مرے
مرے ہوتے
گھستا ہے
ہے جبیں
جبیں خاک
خاک پہ
پہ دریا
دریا مرے
مرے آگے
مت پوچھ
پوچھ کہ
کہ کیا
کیا حال
حال ہے
ہے میرا
میرا ترے
ترے پیچھے
تو دیکھ
دیکھ کہ
کہ کیا
کیا رنگ
رنگ ہے
ہے تیرا
تیرا مرے
مرے آگے
سچ کہتے
کہتے ہو
ہو خودبین
خودبین خود
خود آرا
آرا ہوں
ہوں نہ
نہ کیوں
کیوں ہوں
بیٹھا ہے
ہے بت
بت آئنہ
آئنہ سیما
سیما مرے
مرے آگے
پھر دیکھیے
دیکھیے انداز
انداز گل
گل افشانیٔ
افشانیٔ گفتار
رکھ دے
دے کوئی
کوئی پیمانۂ
پیمانۂ صہبا
صہبا مرے
مرے آگے
نفرت کا
کا گماں
گماں گزرے
گزرے ہے
ہے میں
میں رشک
رشک سے
سے گزرا
کیوں کر
کر کہوں
کہوں لو
لو نام
نام نہ
نہ ان
ان کا
کا مرے
مرے آگے
ایماں مجھے
مجھے روکے
روکے ہے
ہے جو
جو کھینچے
کھینچے ہے
ہے مجھے
مجھے کفر
کعبہ مرے
مرے پیچھے
پیچھے ہے
ہے کلیسا
کلیسا مرے
مرے آگے
عاشق ہوں
ہوں پہ
پہ معشوق
معشوق فریبی
فریبی ہے
ہے مرا
مرا کام
مجنوں کو
کو برا
برا کہتی
کہتی ہے
ہے لیلیٰ
لیلیٰ مرے
مرے آگے
خوش ہوتے
ہوتے ہیں
ہیں پر
پر وصل
وصل میں
میں یوں
یوں مر
مر نہیں
نہیں جاتے
آئی شب
شب ہجراں
ہجراں کی
کی تمنا
تمنا مرے
مرے آگے
ہے موجزن
موجزن اک
اک قلزم
قلزم خوں
خوں کاش
کاش یہی
یہی ہو
آتا ہے
ہے ابھی
ابھی دیکھیے
دیکھیے کیا
کیا کیا
کیا مرے
مرے آگے
گو ہاتھ
ہاتھ کو
کو جنبش
جنبش نہیں
نہیں آنکھوں
آنکھوں میں
میں تو
تو دم
دم ہے
رہنے دو
دو ابھی
ابھی ساغر
ساغر مینا
مینا مرے
مرے آگے
ہم پیشہ
پیشہ ہم
ہم مشرب
مشرب ہم
ہم راز
راز ہے
ہے میرا
غالبؔ کو
کو برا
برا کیوں
کیوں کہو
کہو اچھا
اچھا مرے
مرے آگے
دل ہی
ہی تو
تو ہے
ہے نہ
نہ سنگ
سنگ خشت
خشت درد
درد سے
سے بھر
بھر نہ
نہ آئے
آئے کیوں
روئیں گے
گے ہم
ہم ہزار
ہزار بار
بار کوئی
کوئی ہمیں
ہمیں ستائے
ستائے کیوں
دیر نہیں
نہیں حرم
حرم نہیں
نہیں در
در نہیں
نہیں آستاں
آستاں نہیں
بیٹھے ہیں
ہیں رہ
رہ گزر
گزر پہ
پہ ہم
ہم غیر
غیر ہمیں
ہمیں اٹھائے
اٹھائے کیوں
جب وہ
وہ جمال
جمال دلفروز
دلفروز صورت
صورت مہر
مہر نیمروز
آپ ہی
ہی ہو
ہو نظارہ
نظارہ سوز
سوز پردے
پردے میں
میں منہ
منہ چھپائے
چھپائے کیوں
دشنۂ غمزہ
غمزہ جاں
جاں ستاں
ستاں ناوک
ناوک ناز
ناز بے
بے پناہ
تیرا ہی
ہی عکس
عکس رخ
رخ سہی
سہی سامنے
سامنے تیرے
تیرے آئے
آئے کیوں
قید حیات
حیات بند
بند غم
غم اصل
اصل میں
میں دونوں
دونوں ایک
ایک ہیں
موت سے
سے پہلے
پہلے آدمی
آدمی غم
غم سے
سے نجات
نجات پائے
پائے کیوں
حسن اور
اور اس
اس پہ
پہ حسن
حسن ظن
ظن رہ
رہ گئی
گئی بوالہوس
بوالہوس کی
کی شرم
اپنے پہ
پہ اعتماد
اعتماد ہے
